ParkingID,ParkingType,ParkingName,ParkingAddress,ParkingLng,ParkingLat,OpenTime,CloseTime,use_flag,MKTime,UPDTime,last_opt,ParkingPID
155,0,大稻埕公園地下停車場,台北市大同區歸綏街243號,121.510479,25.058263,2020-12-16 00:00:00.000,2021-11-03 11:15:00.000,1,2021-05-20 17:10:22.623,2021-11-03 11:11:51.650,80199,e7c8258b-4545-41af-a8b5-c8b61e8eb348
156,0,成淵高中地下停車場,台北市大同區承德路二段235號,121.520140,25.060355,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:01:03.680,80157,af0f7615-7741-4eb4-af48-601596c7bcf2
157,0,民生立體停車場,台北市松山區民生東路五段84號,121.559462,25.058344,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:56:19.450,80157,e758398e-f944-4764-99f5-a34f9ec5e5c9
158,0,健康國小地下停車場,台北市松山區三民路43巷1號,121.562814,25.056049,2020-12-16 00:00:00.000,2021-08-06 16:50:00.000,0,2021-05-20 17:10:22.623,2021-08-17 13:03:25.770,80157,05e966a9-7b4a-4979-a425-ab8e216b6ebd
159,0,民權公園地下停車場,台北市松山區民權東路四段180號,121.558825,25.062218,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:56:49.623,80157,fb623161-221e-42f1-9d7b-4296c0bf2fb2
160,0,松山國小地下停車場,台北市松山區八德路四段746號,121.578602,25.050122,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:56:27.623,80157,ebc5a740-0acf-4eef-bf92-7aef59f1eec0
161,0,西松高中地下停車場,台北市松山區健康路325巷19弄1號,121.566093,25.055840,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,NULL,80161,18052140-c0a3-45a0-a094-a0109c422ae8
162,0,松山高中地下停車場,台北市信義區基隆路一段156號,121.563725,25.044007,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:21:43.107,80157,1804e135-114b-411c-b8b9-c75af8815935
163,0,松山工農地下停車場,台北市信義區忠孝東路五段372巷28弄21號,121.572570,25.038987,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:53:26.073,80157,82771924-9563-4458-af05-d1525e995b1b
164,0,興雅國中地下停車場,台北市信義區松德路200巷18號,121.572753,25.034761,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:21:30.940,80157,8821ac19-5489-4f64-b5d0-2587f2d2a1b3
165,0,古亭國中地下停車場,台北市萬華區中華路二段606巷1號,121.509891,25.023943,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:52:10.217,80157,3de78967-2993-4b4a-99b9-9eb8fc7989c0
166,0,峨眉立體停車場,台北市萬華區峨眉街83號,121.505725,25.044385,2020-12-16 00:00:00.000,2021-05-01 00:00:00.000,0,2021-05-20 17:10:22.623,2021-08-17 12:01:02.920,80157,31c8a527-773c-4215-8d5d-c5924dbd8def
167,0,百齡高中地下停車場,台北市士林區承德路四段175號,121.523389,25.085724,2020-12-16 00:00:00.000,2021-10-02 00:00:00.000,0,2021-05-20 17:10:22.623,2021-10-03 16:17:21.737,80157,12fba952-bd1e-4d9a-940c-0e40007cc874
168,0,永盛公園地下停車場,台北市中山區中山北路二段93巷30號,121.524748,25.059407,2019-06-26 00:00:00.000,2020-12-14 00:00:00.000,0,2021-05-20 17:10:22.623,2021-08-17 12:50:11.460,80157,10bcc3d2-47f9-4840-9442-7a5427dc2090
169,0,金華公園地下停車場,台北市大安區金華街254巷1號,121.531553,25.029995,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:02:30.790,80157,747948e8-8463-4446-9c27-19fd08a92267
170,0,大安高工地下停車場,台北市大安區信義路三段166巷6弄12號,121.540984,25.032717,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:56:11.380,80157,e007e33c-b51f-4f8e-980b-5d3b17eb6565
171,0,興中立體停車場,台北市南港區興中路44巷1號,121.606660,25.056066,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:46:34.460,80157,c75cbe2d-ad46-49de-8985-60218aa2fa33
172,0,附中公園地下停車場,台北市大安區復興南路一段340巷11號,121.542479,25.036146,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 12:57:17.940,80157,ffd22ee5-c4c5-414d-9302-40eacc8abb90
173,0,五分埔公園地下停車場,台北市信義區中坡北路57號,121.580603,25.046805,2019-06-26 00:00:00.000,2020-12-14 00:00:00.000,0,2021-05-20 17:10:22.623,2021-08-17 10:23:09.187,80157,af85f31f-bce2-4a18-944e-33d2d2e01448
174,0,青年公園高爾夫球場地下停車場,台北市萬華區國興路5號,121.507444,25.025085,2020-12-16 00:00:00.000,2099-12-31 00:00:00.000,1,2021-05-20 17:10:22.623,2021-08-17 10:46:58.960,80157,366ff7d7-d3c7-47a2-87f1-8be8f6715505
