站號,站名,經度,緯度,城市,地址
466850,五分山雷達站,121.781205,25.071182,新北市,瑞芳區靜安路四段1巷1號
466880,板橋,121.442017,24.997647,新北市,板橋區大觀路二段265巷62號
466900,淡水,121.448906,25.164889,新北市,淡水區中正東路42巷6號
466910,鞍部,121.529731,25.182586,臺北市,北投區陽明山竹子湖路111號
466920,臺北,121.514853,25.037658,臺北市,中正區公園路64號
466930,竹子湖,121.544547,25.162078,臺北市,北投區陽明山竹子湖路2號
466940,基隆,121.740475,25.133314,基隆市,仁愛區港西街6號6樓(海港大樓6樓)
466950,彭佳嶼,122.079744,25.627975,基隆市,中正區彭佳嶼
466990,花蓮,121.613275,23.975128,花蓮縣,花蓮市花崗街24號
467050,新屋,121.047486,25.006744,桃園市,新屋區東興路二段946號
467060,蘇澳,121.857372,24.596736,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓)
467080,宜蘭,121.756528,24.763975,宜蘭縣,宜蘭市力行路150號
467110,金門,118.289281,24.407306,金門縣,金城鎮金水里西海路一段250號
467270,田中,120.581348,23.873776,彰化縣,田中鎮中潭里4鄰高鐵三路1段167號
467300,東吉島,119.667467,23.25695,澎湖縣,望安鄉東吉村156號
467350,澎湖,119.563094,23.565503,澎湖縣,馬公市新興路2號
467410,臺南,120.204772,22.993239,臺南市,中西區公園路21號
467420,永康,120.2367,23.038386,臺南市,永康區鹽行里正南五街520巷88號
467440,高雄,120.315733,22.565992,高雄市,前鎮區明孝里26鄰漁港南二路2號
467480,嘉義,120.432906,23.495925,嘉義市,西區北新里海口寮路56號
467490,臺中,120.684075,24.145736,臺中市,北區精武路295號
467530,阿里山,120.813242,23.508208,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號
467540,大武,120.903789,22.355675,臺東縣,大武鄉大武街115號
467550,玉山,120.959522,23.487614,南投縣,信義鄉玉山北峰1號
467571,新竹,121.014219,24.827853,新竹縣,竹北市北崙里3鄰光明五街60號
467590,恆春,120.746339,22.003897,屏東縣,恆春鎮天文路50號
467610,成功,121.373428,23.097486,臺東縣,成功鎮公民路84號
467620,蘭嶼,121.558339,22.036969,臺東縣,蘭嶼鄉紅頭村2號
467650,日月潭,120.90805,23.881325,南投縣,魚池鄉水社村中山路270巷14號
467660,臺東,121.154586,22.752211,臺東縣,臺東市大同路106號
467770,梧棲,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓
467790,墾丁雷達站,120.808028,21.948235,屏東縣,恆春鎮燈塔路51巷33號
467990,馬祖,119.923419,26.169269,連江縣,南竿鄉四維村6鄰88號
C0A520,山佳,121.402008,24.974944,新北市,樹林區中山路3段5號(山佳國民小學校園內)
C0A530,坪林,121.709378,24.938203,新北市,坪林區
C0A540,四堵,121.745894,24.892761,新北市,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘)
C0A550,泰平,121.823711,24.971197,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近)
C0A560,福山,121.502811,24.776203,新北市,烏來區福山里李茂岸八號(福山國小旁)
C0A570,桶後,121.597992,24.848222,新北市,烏來區后桶街49號孝義里5-6k處路旁
C0A640,石碇,121.662931,24.993858,新北市,石碇區湳窟34號附近
C0A650,火燒寮,121.742892,25.002719,新北市,平溪區東勢里
C0A660,瑞芳,121.801147,25.113169,新北市,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內)
C0A770,科教館,121.516507,25.096356,臺北市,士林區士商路189號（士林科教館樓頂）
C0A860,大坪,121.632969,25.165914,新北市,萬里區溪底里香員林6-3號
C0A870,五指山,121.608692,25.132153,新北市,汐止區國軍示範公墓旁之復興廣播電台門口外
C0A880,福隆,121.942083,25.017842,新北市,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方
C0A890,雙溪,121.864242,25.036003,新北市,雙溪區雙溪里社區活動中心旁花圃內
C0A920,富貴角,121.565258,25.263783,新北市,石門區山溪里10鄰九芎林13號旁(石門國小山溪分班附近)
C0A931,三和,121.595236,25.233153,新北市,金山區三和國小兩湖分校
C0A940,金山,121.643967,25.223628,新北市,金山區中興段404地號(磺港社區活動中心內)
C0A950,鼻頭角,121.923372,25.129036,新北市,瑞芳區鼻頭角燈塔旁
C0A970,三貂角,122.002058,25.007606,新北市,貢寮區三貂角燈塔旁
C0A980,社子,121.469681,25.109508,臺北市,士林區延平北路九段212號(臺北海洋科技大學內)
C0A9C0,天母,121.537169,25.117494,臺北市,士林區天母東路116號(三玉國小內)
C0A9F0,內湖,121.57545,25.079422,臺北市,內湖區內湖路一段520號(內湖高工內)
C0AC40,大屯山,121.522408,25.175675,臺北市,北投區湖田段461-6地號(民航局大屯山助航臺)
C0AC60,三峽,121.369728,24.939025,新北市,三峽區復興路238號(三峽國中校園內)
C0AC70,信義,121.564597,25.037822,臺北市,信義區市府路1號(台北市政府頂樓)
C0AC80,文山,121.575728,25.00235,臺北市,文山區木柵路4段159巷14-1號(博嘉國小校園內)
C0ACA0,新莊,121.446756,25.051478,新北市,新莊區中和街193號(榮富國小校園內)
C0AD00,三芝,121.501917,25.258131,新北市,三芝區育英路22號(三芝國小內)
C0AD10,八里,121.403947,25.150211,新北市,八里區中山路二段338號(八里國小內)
C0AD30,蘆洲,121.472331,25.086594,新北市,蘆洲區三民路96號(三民高中內)
C0AD40,土城,121.445169,24.973208,新北市,土城區金城路一段90號(新北市政府消防局土城分隊大樓樓頂)
C0AD50,鶯歌,121.346294,24.951533,新北市,鶯歌區尖山埔路106號(鶯歌國小內)
C0AG80,中和,121.491792,24.991622,新北市,中和區錦和路163號(錦和高中內)
C0AH00,汐止,121.658778,25.066881,新北市,汐止區大同路二段394號(汐止國中)
C0AH10,永和,121.508111,25.01125,新北市,永和區永平路205號(永平高中校園內)
C0AH30,五分山,121.780794,25.07125,新北市,瑞芳區靜安路四段1巷1號
C0AH40,平等,121.577086,25.129142,臺北市,士林區平菁街101號(平等國小)
C0AH50,林口,121.38084,25.072181,新北市,林口區仁愛路二段173號(林口高中內)
C0AH70,松山,121.55042,25.04871,臺北市,松山區敦化北路1號(臺北市松山運動中心)
C0AH80,深坑,121.628328,25.002703,新北市,深坑區文山路1段35號(深坑消防分隊樓頂)
C0AH90,福山植物園,121.58135,24.760717,新北市,烏來區福山植物園內(生活植物區之民俗植物區觀測坪)
C0AI00,五股,121.42728,25.07445,新北市,五股區外寮路12號
C0AI10,屈尺,121.54475,24.92184,新北市,新店區屈尺路83號(衛福部北區老人之家)
C0AI20,白沙灣,121.519058,25.283128,新北市,石門區德茂里下員坑33-6號（白沙灣遊客中心樓頂）
C0AI30,三重,121.500629,25.057328,新北市,三重區環河南路100號
C0AI40,石牌,121.513167,25.115601,臺北市,北投區石牌路一段139號(石牌國中自強樓頂樓)
C0B010,七堵,121.71713,25.094819,基隆市,七堵區東新街22號(基隆商工樓頂)
C0B020,基隆嶼,121.78391,25.19141,基隆市,中正區基隆嶼
