,temp,wet,windspeed,rain,out,stay,LAST_IN,LAST_OUT,LAST_STAY,avg4w_in,avg4w_Out,avg4w_stay,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,weekday_7
32435,0.857952471,1.231532309,-1.515299965,-0.535096857,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.25594358,-0.38866649,0,0,0,1,0,0,0
16189,0.314291972,0.172665797,-0.195844471,-0.535096857,0.819753545,0.092325493,-0.129792298,-0.13321281,9.859266643,0.190354081,0.175234977,2.687922464,0,0,0,0,0,0,1
41396,-0.611975994,-0.771915759,0.454414311,-0.527507486,0.819753545,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.06191323,-0.38866649,0,0,0,0,0,1,0
20144,-0.043930305,0.963620793,0.992012575,2.92565629,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,0.494692049,-0.013405642,0.149736577,0,0,0,0,1,0,0
27859,-0.241554021,0.346267998,1.210626389,1.221300417,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.086316799,-0.25594358,-0.18356056,0,0,0,0,0,1,0
34307,1.375367291,-0.215942342,0.718001916,-0.527507486,-0.132410134,-0.191072229,-0.129792298,-0.13321281,0.924537872,0.834242674,0.978795016,1.177596977,0,1,0,0,0,0,0
28907,-1.168588906,-1.453190828,0.527548825,-0.404993355,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,0.079685729,-0.25594358,-0.234837043,0,0,0,0,0,1,0
30791,-0.235674307,0.134113153,2.391648346,-0.331268037,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.25594358,-0.38866649,0,0,0,1,0,0,0
20035,0.567375308,1.185453618,-0.452241423,4.755778881,-0.132410134,-0.191072229,0.831698501,-0.13321281,0.366117324,-0.003315535,-0.013405642,-0.157922319,0,0,0,0,0,1,0
20350,-2.039929835,-0.189975752,-0.612986768,-0.472410624,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.25594358,-0.38866649,0,0,1,0,0,0,0
38629,1.849664209,-0.476927869,-1.410836106,-0.569791124,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.25594358,-0.38866649,0,0,0,1,0,0,0
49389,0.857952471,1.231532309,-1.515299965,-0.535096857,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.086316799,-0.094251621,-0.081007595,0,0,0,1,0,0,0
55680,-1.784815583,-0.608562448,0.708958186,-0.118765651,-0.132410134,-0.191072229,-0.129792298,-0.13321281,-0.192303224,-0.252319327,-0.25594358,-0.38866649,0,1,0,0,0,0,0
12324,1.979017914,-0.466670796,-0.554522643,0.210107089,-0.132410134,-0.191072229,0.831698501,0.838792533,0.08690705,0.411690785,0.552516215,-0.18356056,0,0,0,0,0,1,0
